request_id,request
93,how does covid spread
94,i'm in a covid-free area can i come back to the united states?
95,number of infected
96,is my school closed?
97,do i need to disinfect my cell phone when i get home
98,who you are?
99,can i test myself?
100,are schools open?
101,what is the mortality rate of covid-19
102,is hs 123 open?
103,this is crap
104,who you are?
105,are schools open?
106,how many people are infected in illinois?
107,flu vs. covid-19
108,can i get tested
109,is my kids school closed
110,can i go to the store.
111,i am a teacher / educator / employee of a school what restrictions apply to me?
112,where can i get tested in houston?
113,what are the covid symtoms
114,flu vs. covid-19
115,when will the nhl return?
116,how does covid spread?
117,what sports are being cancelled?
118,where can i get tested in new mexico
119,can pets get the virus
120,what is effective prevention against covid?
121,is there a medication that can help me feel better?
122,how many folks in texas are infected?
123,i hate this
124,when will the national emergency end?
125,what is covid19
126,if i get sick will i continue to get paid?
127,i don't like this
128,is covid a disease?
129,is covid-19 contagious?
130,what'is corona virus
131,how can i protect my family from the spread of coronavirus?
132,i hate this
133,what should i do if i am a teacher?
134,i'm afraid i have covid-19
135,incubation period of coronavirus?
136,what are symptoms?
137,what are the symptoms
138,is the coronavirus the same as sars?
139,how can i prevent coronavirus
140,when should i go to the hospital?
141,is the school closed
142,are schools open
143,what exactly is home quarantine?
144,am i eligible for paid sick leave
145,when will schools close?
146,"i need to get home from abroad, who can help me?"
147,which countries are quarantined
148,how can i quarantine if i have family living with me?
149,what cleaning regimen should i follow
150,how do i apply for unemployment
151,is there a vaccine for corona virus
152,how can i get infected?
153,when will my kids school reopen
154,are schools closed ?
155,how does covid spread
156,how are you
157,my eyes are burning
158,are schools open
159,when will teaching go back to work?
160,how do i get tested?
161,what if i urgently need to take a flight?
162,how long does the coronavirus last?
163,what does covid stand for?
164,should i go to the er if i have a cough
165,i would like to get involved as a volunteer in the current situation but i do not know how to get involved.
166,is it safe to go to costco?
167,i want to help with babysitting.
168,what does a pandemic mean?
169,everything is horrible
170,can we go to the store?
171,when do the children go back to school
172,testing spots for coronavirus?
173,how contagious is covid-19?
174,what should i do to stay safe?
175,why are there no masks and respirators in pharmacies?
176,is anyone near me sick
177,i can not breath very well
178,what can i do to avoid getting sick?
179,will paid sick leave be available for uber drivers?
180,is the government ready for covid
181,when can i expect drugs for the virus?
182,is covid19 contagious?
183,are schools open
184,i think i'm infected
185,are events being shut down?
186,what are covid 19 symptoms
187,is there a test kit for the coronavirus?
188,what's the difference between flu and coronavirus?
189,my husband has coronavirus symptoms
190,will classes be moved to summer?
191,what does a state of emergency mean?
192,how to treat covid?
193,i often travel by public transport. should i wear a respirator?
194,will my employer give me paid leave if i have coronavirus?
195,what's the best way to prevent coronavirus?
196,i want to talk to someone.
197,its been a week. who can i call to get my test results?
198,i'm having respiratory problems
199,are my schools closed?
200,how do you protect yourself?
201,who you are?
202,can i go shopping when i'm in quarantine?
203,can i go to the grocery store?
204,can dogs get covid19?
205,how do i avoid coronavirus
206,are grocery stores still open
207,how does coronavirus spread?
208,where cani get tested
209,i want to be transferred
210,what should i do
211,how many people total have coronavirus?
212,how do i clean my home properly?
213,who are you
214,what is the best prevention?
215,i need help
216,where did covid come from?
217,when can i go outside
218,what are my symptoms
219,how to treat covid?
220,how many hospital beds are available in the united states?
221,will a respirator help me?
222,is my kids school closed
223,the who has declared a pandemic in the world. what does this mean?
224,events and large gatherings
225,events and large gatherings
226,what are symptoms?
227,i think i'm infected
228,how many people in the world have died?
229,what are the first symptoms for covid?
230,what is a pandemic?
231,if i only have a sore throat is it coronavirus?
232,under what conditions do i have to quarantine?
233,are my kids going to die?
234,what is corona virus?
235,can dogs get covid19?
236,can i get infected if i receive a package
237,what if i don't have paid sick leave
238,paid sick leave
239,how do i self quarantine ?
240,apply for unemployment
241,how to prevent covid infection?
242,they closed my school and i have nowhere to work.
243,ok - i've got enough of those that i think i need to get tested.
244,flu vs coronavirus
245,sars vs corona virus?
246,how can i get screened
247,flu vs covid19
248,everything is horrible
249,can i get tested?
250,how do i get rid of germs at my home
251,who is in danger
252,i don't like this
253,are schools closed in my area
254,can i work from home?
255,how many hospital beds do we have in the us?
256,will there be a mandated quarantine
257,what do i do if i don't have unemployment insurance?
258,i want to be tested for covid-19
259,what are the common symptoms
260,can the dog get sick with corona virus?
261,switch me to an operator
262,how to i prevent myself from getting sick?
263,what city parks are open?
264,what is the treatment for this disease?
265,will students still graduate this year?
266,how are you
267,i want to consult an expert.
268,are schools closed ?
269,can someone come see me during quarantine?
270,am i going to die?
271,should i get tested
272,is covid a disease?
273,will my head hurt if i have covid 19?
274,how is corona virus different than sars?
275,when will masks be available?
276,what does the ordered school closure mean for report cards?
277,do i have to quarantine when i come back from out of the country?
278,can pets contract the virus
279,how many patients are infected with cornona virus in collin county
280,this is crap
281,i want a coronavirus test
282,what does breathlessness look like
283,how long does it take for the virus to run through my system?
284,how long can i get paid sick leave
285,how is the us government addressing the spread of covid-19?
286,is graduation delayed?
287,are schools open
288,i came back from a country do i have to quarantine?
289,am i safe outside?
290,how long does the disease last?
291,are colleges open
292,will a respirator help me?
293,is it dangerous for postal workers
294,will i get paid if i have covid-19?
295,how do you protect yourself?
296,are my children's schools closed?
297,i need help
298,are the local parks open?
299,what is corona virus
300,i need to apply for unemployment.  how do i do it
301,where can i get tested for coronavirus
302,what can i do if i lose my job
303,how many people are infected
304,are the local parks open?
305,is there a vaccine for covid-19
306,should i wear a mask so i don't get infected?
307,how do you test
308,is covid-19 contagious?
309,are schools closed ?
310,i don't like this
311,my throat hurts and i have a headache as well
312,how do i prevent catching the desease
313,what medicines should i take if i have coronavirus
314,i want to help those at high risk with shopping. where can i find information on how to help?
315,can my friends visit me?
316,this is hateful
317,what is the corona virus
318,how is covid-19 spread?
319,what is the count of coronavirus infected people?
320,i have an irritating cough
321,is there a vaccine for coronavirus?
322,can animal get the corona virus?
323,incubation period of coronavirus?
324,are there disinfectants available that can inactivate (kill) covid-19?
325,can i lower my temperature using medication?
326,is there a vaccine for covid-19?
327,what schools are closed
328,what is covid?
329,are quarantined visits allowed?
330,what is the risk of covid for pregnant women?
331,"i have a fever, should i get tested?"
332,are there any travel restrictions in place yet?
333,how long does coronavirus last
334,can i get tested?
335,is my kids school closed?
336,what is covid-19
337,can the government close public places?
338,what cleaning methods kill the coronavirus?
339,yes it is
340,can i test myself?
341,my eyes are burning
342,when can i return to school?
343,switch me to an operator
344,what are the symptoms of covid-19
345,how does covid spread
346,i need help
347,i am abroad who to contact?
348,how do i avoid covid-19?
349,why can't i get or find a mask or a respirator anywhere?
350,how do i catch the virus?
351,what are symptoms
352,what happens when the hospital is full?
353,how does the infection spread
354,who is in danger
355,sars vs corona virus?
356,can dogs get the corona virus?
357,who you are?
358,i'd like a respirator
359,where can i test
360,how do you test
361,what cleaning regimen should i follow
362,how can i do my job while i'm in quarantine?
363,what is covid-19
364,covid number in my state?
365,are people in quarantine checked?
366,what is covid-19?
367,what is the best way to prevent coronavirus
368,how does the virus spread
369,where are cases?
370,apply for unemployment
371,i heard about covid what is it?
372,how does covid spread
373,will i get paid leave?
374,hello are you a living person?
375,does eating garlic help?
376,what medicine should i avoid taking if i have coronavirus
377,tell me about working from home?
378,what is corona virus
379,how is flu different from corpnavirus
380,how is covid transmitted?
381,incubation period of coronavirus?
382,what are my symptoms
383,when is the coronavirus test able to detect the disease?
384,where are cases?
385,is it safe to go outside?
386,i have a sore throat
387,go to hell
388,a colleague is breaking quarantine what should i do?
389,can i die from covid-19
390,is there a medication to reduce temperature with covid-19?
391,a national emergency was declared in the united states. what does this mean?
392,what medicine should i take for covid 19
393,i want to talk to a person.
394,how does cover-19 compare to the sars epidemic?
395,am i safe outside?
396,spreading covid to others
397,how long does the virus last?
398,are schools in my area closed
399,i want to be transferred
400,is my kids school closed
401,where can i get a test?
402,what parks are open?
403,does a mask or respirator help prevent covid infection?
404,i hate these kinds of things
405,this is crap
406,i have illness symptoms
407,why are no masks or respirators available anywhere?
408,can my pets carry the virus?
409,how would i get covid?
410,spreading covid to others
411,is graduation delayed?
412,how often do i need to clean my home to prevent the spread of coronavirus?
413,how long does the coronavirus last?
414,how does covid-19 spread
415,where can i be tested
416,do i have covid?
417,flu vs coronavirus
418,where i can get tested
419,can my pets carry the virus?
420,how are you doing
421,how can i get tested
422,how do i know if i have this issue
423,hi what are the symptoms?
424,are schools open
425,how do i know if im sick
426,can i still attend a conference
427,how's the flu different from coronavirus?
428,where cani get tested
429,is lysol enough to get rid of covid virus from countertops
430,can i get tested at walgreens?
431,can i travel?
432,what is covid?
433,this is crap
434,this is hateful
435,is graduation delayed?
436,how do i apply for unemployment because of coid-19
437,how can i get infected?
438,how does covid spread
439,what are the symptoms of coronoavirus
440,are schools open
441,when should i go to the doctor?
442,who are you
443,what is covid-19
444,will i die from covid-19
445,should i avoid people?
446,is it dangerous to go outside?
447,yes it is
448,is rash a symptom of covid-19?
449,i'm teaching at a school that's closed. what should i do?
450,do i have to wear a respirator?
451,what medicines work best
452,what is the coronavirus?
453,when will masks be available at retail stores? they are not yet and we can get infected on public transport before they are.
454,what measures is the us taking against covid-19?
455,what'is corona virus
456,what happens if i lose my job?
457,is the covid test able to detect infection even during the incubation period?
458,paid sick leave
459,can i go to park
460,can a mask help me?
461,how long will i feel terrible?
462,what groups are most at risk
463,why aren't there respirators?
464,how to i apply for unemployment
465,how will the shutdown impact my child's attendance records?
466,i think i'm infected
467,who will give me my covid test results?
468,i was on vacation in another country.  do i need to quarantine?
469,are my schools closed
470,are grocery stores still open
471,are the national parks closed?
472,my child has a high fever and is coughing. what should i do?
473,flu vs. covid-19
474,should i avoid people?
475,i'm in quarantine and can't work.  what should i do?
476,what are the symptoms?
477,washing your hands effectively
478,are colleges open
479,how can i get my test results?
480,what is the coronavirus?
481,do i have covid?
482,is the school closed
483,are schools closed?
484,can my pets get the virus?
485,what are some good tips for prevention?
486,how does quarantine work?
487,returning from abroad
488,is covid transmissible from animals?
489,is rash a symptom of covid-19?
490,is it even possible to avoid the virus?
491,can my friends visit me?
492,flu vs coronavirus
493,how do you test
494,should i quit the study abroad program?
495,what are covid 19 symptoms
496,what does breathlessness look like
497,i don't like this
498,can i order food while in quarantine?
499,can i go for a run outside?
500,are schools open?
501,what is a national emergency?
502,i do not know what to do
503,are colleges open
504,when does covid vacation end?
505,what is the corona virus?
506,what should i do
507,how do flu symptoms differ from coronavirus symptoms?
508,i am abroad who to contact?
509,will i get paid leave?
510,how many beds are available in the hospitals?
511,when will the schools open?
512,do i need lysol wipes?
513,is there a vaccine?
514,what is covid?
515,how much do i get paid for sick leave
516,paid sick leave
517,where did covid come from?
518,how do i avoid coronavirus
519,does my workplace offer paid sick leave?
520,i need to be checked for covid 19.
521,should i feel safe going to the movies?
522,what is the coronavirus?
523,connect me to someone
524,i think i might have the virus.
525,what are symptoms
526,what are the symptoms
527,is covid19 contagious?
528,is this worse than flu
529,how's the flu different from coronavirus?
530,will graduations be pushed back?
531,who is most at risk
532,what is the first symptom
533,how many cases of covid-19 are in the us?
534,i have a sore throat
535,where can i get a test done
536,paid sick leave
537,is there a test kit for the coronavirus
538,is my kids school closed?
539,what is covid-19
540,where can i get a test kit
541,where cani get tested
542,how many cases are there in texas?
543,i want to talk to an agent
544,what is covid19
545,when should i go to a doctor?
546,how are you
547,i'm a doctor how can i help?
548,who you are?
549,can i go outside
550,where can i get tested for cover-19
551,do i have to quarantine
552,how long are people infected with covid-19 before they are symptomatic?
553,how many people have covid-19 in the whole world?
554,tell me about the symptoms
555,i live in 78709. when will my kids high school reopen?
556,events and large gatherings
557,should i cancel my flight to denver?
558,when can i get my results?
559,how often should i wash my hands?
560,when can i return to school?
561,is hs 123 open?
562,are my kids going to die?
563,daughter is studying abroad what do we do?
564,when can kid go back to school
565,origin of coronavirus
566,what is the mortality rate for covid 19
567,what does breathlessness look like
568,how do i know if i have this thing
569,what should i do in quarantine?
570,does the virus spread thru surfaces
571,can i go out without a respirator?
572,how do i apply for unemployment
573,will i throw up if i have the virus?
574,what are the types of symptoms
575,what are the symptoms of covid?
576,are the national parks closed?
577,"i live in an apartment with my girlfriend, but i am under quarantine now.  what should i do?"
578,is coronavirus contagious?
579,does eating garlic help?
580,number of infected
581,how does quarantine work?
582,what are symptoms
583,how is it possible that the state does not have enough masks and respirators?
584,how long before i get symptons?
585,i am coughing.  should i call my doctor?
586,what is the incubation period of covid?
587,can pets get the virus
588,yes it is
589,testing spots for coronavirus?
590,how can covid be transmitted
591,how do i get a test?
592,what schools are closed
593,how long can i get [paid sick leave
594,which schools are closed?
595,what position does the who have?
596,are schools open?
597,what is different between flu and coronavirus
598,can dogs catch the corona virus
599,who is most at risk?
600,what is corona virus?
601,is there test kit for coronavirus
602,are my schools closed?
603,what cleaning methods kill the coronavirus?
604,what is covid19
605,how long does it take to quarantine?
606,show me the list of high-risk countries.
607,when will my good go back to school?
608,i have illness symptoms
609,spreading covid to others
610,do i get paid leave time
611,covid what is it
612,what is corona virus
613,can dogs get covid19?
614,are people in quarantine checked?
615,what are symptoms
616,is there a vaccine for covid
617,when will my kids school reopen
618,can i go to the hospital?
619,the hospital sent me home because of a lack of beds.
620,is there a coronavirus test kit
621,i am abroad who should i contact?
622,is anyone checking for compliance with those ordered to quarantine?
623,can i get paid sick leave
624,how long is teaching on hold?
625,will i die from covid-19
626,i am in europe and i want to return to the united states. is that possible?
627,will classes be moved to summer?
628,how should i quarantine if i live with other people?
629,can i test myself?
630,can i test myself at my house?
631,where can i get a covid-19 test?
632,what is the mortality rate of the virus?
633,what population groups are most at risk?
634,is it dangerous to go outside?
635,i hate this
636,what is covid?
637,should i get tested
638,this is hateful
639,what is the corona virus?
640,number of infected
641,can you help me?
642,am i going to die
643,what is covid19
644,is it possible to get infected from the infected person the next day?
645,medication that helps with coronavirus
646,is covid a disease?
647,should i wear a mask or a respirator?
648,i think i have covid 19
649,how is it going
650,do i have covid?
651,will graduations be pushed back?
652,how can i get the latest news on my school closure?
653,where can i find information about covid 19 for the world?
654,origin of coronavirus
655,returning from abroad
656,i have symptoms. where can i get tested?
657,"i live in austin, where can i get tested for covid-19"
658,where can i test
659,which schools are closed?
660,where can i go to get tested for covid?
661,what are the symptoms of coronavirus
662,is it okay to go grocery shopping?
663,when did i need to call the doctor?
664,how does covid-19 spread
665,is graduation delayed?
666,spreading covid to others
667,when does a person become contagious?
668,how does coronavirus spread?
669,has anyone died of coronavirus in my state?
670,can i leave for an exchange trip?
671,what is covid-19
672,what does the who do?
673,what can i do to prevent getting coronavirus?
674,what is the corona virus
675,everything is horrible
676,where can i get a test
677,is this worse than the flu?
678,how am i supposed to be quarantined when i live with other people?
679,where can my kids go back to school
680,how can i get tested for covid?
681,where can i get screened?
682,am i able to work from my home office?
683,what is novel coronavirus?
684,can i test myself?
685,i want a test for coronavirus
686,how long does it take to get unemployment
687,washing your hands effectively
688,can i get infected through a package from china
689,how long can i get unemployment?
690,when will covid-19 medicines be ready?
691,i'm hanging up
692,do i have to quarantine
693,the hospital is full and they sent me home.
694,effective cleaning and hand washing techqniques
695,how many people are infected with corona virus currently in texas?
696,can i die from covid-19
697,ihave sore throat
698,how does covid-19 spread to others
699,how long does the disease last?
700,where cani get tested
701,are my schools closed?
702,i need help
703,this is crap
704,how do i avoid coronavirus
705,how dangerous is this?
706,can i get corona virus from my pet?
707,is this worse than flue
708,how is a pandemic different from an epidemic?
709,how do i stay safe
710,how do i treat coronavirus?
711,prevent the spread of the virus
712,how does covid spread?
713,flu vs coronavirus
714,is covid-19 contagious?
715,what are the covid-19 symptoms?
716,what are the common symptoms
717,are my schools closed?
718,can i work from home?
719,what are symptoms of coronvirus
720,are colleges open
721,my eyes are burning
722,should i get tested if i have a cough?
723,my husband has coronavirus symptoms
724,what is the maximum number of people allowed to meet right now?
725,is the covid vaccine ready?
726,i'd like a respirator
727,i am currently traveling out of the country. who should i contact?
728,can my kids return to high school
729,should i wear a respirator?
730,what are the symptoms?
731,are people infected in my city ?
732,washing your hands effectively
733,do i need to wear a face mask?
734,i need help
735,can i take ibuprofen if i have corona virus?
736,apply for unemployment
737,what can i do to stay safe
738,what is covid
739,describe shortness of breath
740,how are you
741,how can i get tested
742,what can i do when i'm in quarantine?
743,where can i get masks?
744,"i'm coughing, should i go to the doctor?"
745,sars vs corona virus?
746,why aren't there respirators?
747,what symptoms are typical with this disease
748,what city parks are open?
749,where do i get a test
750,is it safe to go to the grocery store?
751,where can i get tested?
752,can i get tested?
753,how is the flue different from the coronavirus?
754,how long will we have to self quarantine?
755,what is the best prevention?
756,does covid spread by packages?
757,is there a covid vaccine?
758,"i live in ontario, where can i get tested?"
759,how can i get a test
760,where can i learn more about covid?
761,what is corona virus
762,what can i do to prevent coivd?
763,does eating garlic help?
764,do my test results come in the mail?
765,i need help
766,when do i call a doctor
767,why aren't any masks available?
768,what should i do when i get back from another country?
769,should i make an appointment with my dr?
770,what are the covid-19 symptoms?
771,my throat and head hurt
772,how long has the national emergency been in place?
773,when can i send my kids back to school
774,can i get tested for cover?
775,where can i get a test?
776,paid sick leave
777,are quarantined visits allowed?
778,should i take theraflu?
779,are my schools closed?
780,how long does it last
781,where can i test
782,how can i get a coronavirus test?
783,which countries have been affected?
784,where can i get tested for the coronavirus in new york
785,is graduation delayed?
786,can i go to the store.
787,ihave sore throat
788,how many people are sick throughout the world?
789,events and large gatherings
790,sars vs corona virus?
791,can i go outside?
792,where do people get protective masks or disinfectants?
793,has the cause of covid-19 been identified?
794,which countries are more of a risk?
795,what are the symptoms
796,how many people total have coronavirus?
797,what should i do if the hospital won't take me in?
798,what to do if i think i have covid?
799,which countries has covid-19 been detected in?
800,can i travel for work?
801,what position does the who have?
802,are schools open?
803,will texas provide paid sick leave
804,what is covid-19
805,"i have a cough but am breathing fine, should i go to the hospital or wait?"
806,what grocery store in keller is open?
807,how do i get tested for covid -19
808,does the sun kill coronavirus?
809,what parks are open?
810,how do i get screened?
811,how do you test
812,what if i break quarantine?
813,is the coronavirus the same as mers?
814,are schools open
815,i have a temperature and cough. do i have the coronavirus?
816,what is the treatment for covid-19?
817,the son is on an exchange trip
818,can i go outside
819,i think i'm infected
820,who is responsible for quarantined people?
821,when can i buy a mask?
822,what medicine should i be taking for covid 19
823,is graduation delayed?
824,when can i buy a mask at a pharmacy?
825,how do i know whether to go to the doctor?
826,why aren't any masks available?
827,what is covid-19
828,should i see a doctor if i am showing the symptoms?
829,we're on an exchange trip now what?
830,what schools are closed
831,how can i not get sick
832,what has our government already done to reduce the risk of spreading the disease
833,is coronavirus contagious?
834,how do i protect myself?
835,where do i go for covid19 testing?
836,how many people have the virus in our county
837,how can i get infected?
838,i have a fever. should i go to the hospital?
839,can i go to the grocery store
840,what are the symptoms of the disease?
841,what should i do to avoid getting sick?
842,should i get tested if i do not have symptoms but think i've been exposed?
843,coronavirus test kit
844,i hate this
845,what are the symptoms?
846,i have a burning feeling in my chest
847,can i get tested at home?
848,who you are?
849,when can my kids back school
850,"all the stores are out of disinfecting wipes, what do i do?"
851,do i have to go to the hospital if i get covid
852,i want to be transferred
853,what is covid?
854,how to prevent the spread of the virus
855,my wife is in quarantine.  do i need to be as well?
856,how can i get tested
857,what is shortness of breath
858,can i return to the united states if i am abroad?
859,what is covid
860,returning from abroad
861,what groups are most at risk
862,how long should i quarrantine?
863,can dogs get covid19?
864,is covid-19 contagious?
865,what are the covid-19 symptoms?
866,i have a fever
867,is the school closed
868,my girlfriend has symptoms of covid-19
869,are schools closed
870,am i allowed to go to the grocery store?
871,how long is the incubation period?
872,will there be a mandated quarantine
873,can the government close public places?
874,what is the risk of my child becoming sick with covid-19?
875,do i have to go into quarantine?
876,what should i do if i have been quarantined?
877,how would i catch it?
878,i'm hanging up
879,where are cases?
880,what is the test to detect covid 19?
881,how does the state of emergency affect me?
882,is my school closed
883,what is corona virus
884,who is the most vulnerable to covid
885,how many coronavirus cases are there in my area?
886,can animal get the corona virus?
887,are schools shut down?
888,where can i apply for unemployment
889,covid number in my state?
890,are schools shut down?
891,incubation period of coronavirus?
892,will the parks and bike trails remain open?
893,duration of paid sick leave?
894,if i have covid how long do i have to self isoclate
895,what is covid-19
896,origin of coronavirus
897,should i take theraflu?
898,when should i wear a mask?
899,returning from abroad
900,do we have enough protective measures?
901,how is it going
902,how long should i be in quarantine?
903,what are the symptoms of covid?
904,is there a vaccine for the coronavirus?
905,"if i have syptoms, how long should i quartine for?"
906,can pets get covid
907,how many people are infected
908,do i need to get tested?
909,can pets get covid
910,everything is horrible
911,will i get paid leave?
912,when can my kids go back to high school in 78712
913,do i need to do both?
914,what are symtoms?
915,what schools are closed
916,who you are?
917,can pets contract the virus
918,can i work from home?
919,how many people in texas have corona virus?
920,what rules should i follow to prevent covid illness?
921,what are symptoms of coronvirus
922,testing spots for coronavirus?
923,i have a sore throat
924,do i get paid leave time
925,do i need lysol wipes?
926,i have headache and sore throat ..what should i do ?
927,am i sick
928,is there a cure for covid-19?
929,when can i get my results?
930,origin of coronavirus
931,is it safe to fly to seattle?
932,connect me to someone
933,what are the most common symptoms of covid?
934,can i get tested at my doctor's?
935,what is covid-19
936,what can you do
937,how can i prevent coronavirus
938,how can covid be transmitted
939,what are the risky countries?
940,how is covid transmitted?
941,who is able to get paid sick leave
942,spreading covid to others
943,i want to switch to an operator.
944,is there a coronavirus test kit
945,when will the ncaa championships be held?
946,duration of paid sick leave?
947,flu vs. covid-19
948,what are the symptoms
949,what should i do
950,who are you
951,how long should you self-quarantine?
952,i hate this
953,is hs 123 open?
954,how does this work
955,washing your hands effectively
956,i don't like this
957,am i allowed to go to my garden in quarantine?
958,is the government legally allowed to close shops and restaurants?
959,should i spray myself or my kids with disinfectant?
960,where are cases?
961,tell me about paid sick leave
962,what should i do if i returned from another country?
963,what are symptoms of coronvirus
964,how long can i expect to be sick?
965,can i receive visits during quarantine?
966,when will schools close?
967,where i can get tested
968,what are symptoms?
969,am i safe outside?
970,are events being shut down?
971,are schools in my area closed
972,can medication be used to reduce fever?
973,how does quarantine work?
974,is there a test for teh coronavirus
975,am i sick
976,how to wash your hands properly?
977,i'm working at a school that's closed now. what should i do?
978,who to contact when i'm in the high risk area
979,why is the government shutting down my event?
980,can you help me?
981,can i go to grocery stores
982,how do i know if i'm suffering from shortness of breath
983,where can i find more information about covid 19?
984,"i am on a exchange trip, should i cancel it?"
985,returning from abroad
986,yes it is
987,are schools closed?
988,events and large gatherings
989,how long is the incubation period for covid-19
990,is there a cure for covid-19?
991,how can covid be transmitted
992,can i get tested
993,i just travelled. what do i do?
994,where can i apply for unemployment
995,can i still get paid sick leave for 14 days if i get corona
996,will there be school in the summer?
997,can i still go to the grocery store?
998,what are the common symptoms
999,when can i be ordered to quarantine?
1000,should i wear a respirator?
1001,my girlfriend has symptoms of covid-19
1002,do i need lysol wipes?
1003,returning from abroad
1004,how do i get screened?
1005,ihave sore throat
1006,where can i get a test
1007,when is school back in session?
1008,how long does it last?
1009,can pets get covid
1010,how long does the virus last
1011,is the coronavirus the same as a cold?
1012,what is a pandemic?
1013,my doctor hasn't given me my test results back yet.
1014,when will the schools open?
1015,testing spots for coronavirus?
1016,what are the symptoms?
1017,sars vs corona virus?
1018,i have illness symptoms
1019,will there be exams in the summer?
1020,can i travel for work?
1021,is covid19 contagious?
1022,can i work from home during quarantine?
1023,how long does covid-19 last?
1024,connect me to someone
1025,is my school closed?
1026,which age group is at an increased risk of getting covid 19?
1027,what will help me prevent covid infection?
1028,what is covid-19
1029,how can i apply for unemployment?
1030,how many people have the virus?
1031,"if a member of my family is in quarantine, what should i do?"
1032,"if i am in quarantine, can i go for walks?"
1033,where can i get screened?
1034,is there a nationwide curfew?
1035,how is flu different from corpnavirus
1036,my child is coughing. should i be worried?
1037,how long will i feel terrible?
1038,is there a cure for covid 19?
1039,i want to help i'm a student.
1040,can my child go to school?
1041,what should i do to contain the spread of the virus
1042,how long do i have to be stuck at home?
1043,how do i apply for unemployment benefits?
1044,will i die from covid-19
1045,where did corona virus start from?
1046,how contagious is covid-19?
1047,when should i wear a respirator?
1048,how long before i get symptons?
1049,i thing i feel symptoms of the disease
1050,does alcohol kill the coronavirus?
1051,how is the united states prepared for the spread of covid 19?
1052,paid sick leave
1053,how long will the state of emergency last?
1054,when can kids return to school
1055,when can my kids go back to school
1056,i am in new york where should i get tested
1057,can i get paid sick leave
1058,are grocery stores still open
1059,can a mask help me?
1060,i have a question about unemployment
1061,how long will it be until there is a vaccine?
1062,where can i get tested for coronavirus?
1063,will i poop a lot if i have the virus?
1064,in the event there is a large number of infected and hospitals can't manage to treat everyone what is recommended treatment for home quarantine and self-medication?
1065,can i travel?
1066,why aren't there respirators?
1067,is coronavirus contagious?
1068,can i get tested at home?
1069,who am i talking to
1070,how to treat covid?
1071,when will the nhl return?
1072,who am i talking to
1073,when should i wear a mask?
1074,how is covid-19 spread?
1075,how long is the incubation period of covid 19?
1076,how contagious is covid-19?
1077,how to distinguish it from a common cold.
1078,what are the early symptoms of covid-19?
1079,how do i catch the virus?
1080,how do i get a test?
1081,what medicines work best
1082,can i go to the hospital?
1083,where do i get a test
1084,when will the national emergency end?
1085,what if i have a roommate and i'm put under quarantine?
1086,is there a vaccine for covid-19
1087,i'm hanging up
1088,number of infected
1089,is this the same as the flu?
1090,is this worse than the flu?
1091,can i get tested?
1092,under what circumstances do i have to quarantine?
1093,do i get paid sick leave
